brand_name,score,area_code
고돼지,34,3110659
고돼지,31,3120118
고돼지,15,3110701
고돼지,15,3110729
고돼지,15,3120239
고돼지,15,3110395
고돼지,15,3120136
고두리,41,3110073
고드니,35,3120118
고든램지버거,52,3120227
고등어굽는고양이,56,3110049
고등어굽는고양이,34,3120047
고디바,52,3120003
고디바,49,3120189
고디바,44,3120186
고디바,43,3120149
고디바,43,3120098
고디바,39,3120218
고디바,38,3120005
고디바,37,3120128
고디바,32,3120227
고디바,15,3120149
고래가주,46,3110869
고래가주,15,3130295
고래맥주창고,37,3110410
고래맥주창고,15,3110536
고래맥주창고,15,3110314
고래맥주창고,15,3120119
고래맥주창고,15,3110736
고래맥주창고,15,3110693
고래맥주창고,15,3110159
고래맥주창고,15,3110446
고래맥주창고,15,3110300
고래맥주창고,15,3130313
고래맥주창고,15,3110247
고래맥주창고,15,3110615
고래맥주창고,15,3110156
고래식당,41,3120093
고래식당,35,3120137
고래와,31,3120044
고레카레,44,3120043
고레카레,15,3120033
고레카레,15,3120106
고려왕족발ㆍ보쌈,31,3110718
고로커피로스터스,41,3110897
고릴라스테이크,34,3120204
고망고,52,3110564
고망고,46,3120098
고망고,42,3120119
고망고,38,3001493
고망고,37,3120053
고망고,36,3120042
고망고,36,3130186
고망고,15,3110434
고망고,15,3120126
고망고,15,3120064
고망고,15,3110576
고망고,15,3110706
고메램,62,3120215
고메램,50,3120189
고메램,15,3110928
고메스퀘어,43,3120076
고메스테이크,31,3130217
고메스테이크,15,3111062
고바우집,31,3120125
고반가든,15,3120149
고반식당,48,3120215
고반식당,47,3120211
고반식당,45,3120148
고반식당,44,3120225
고반식당,42,3120156
고반식당,42,3130054
고반식당,41,3120119
고반식당,35,3130302
고반식당,33,3130326
고반식당,32,3120229
고반식당,15,3110899
고반식당,15,3110416
고방채,34,3120149
고방채,15,3120148
고베규카츠,50,3110954
고베규카츠,46,3110561
고베규카츠,42,3130285
고베규카츠,40,3130079
고봉민김밥인,45,3120012
고봉민김밥인,43,3110998
고봉민김밥인,42,3110707
고봉민김밥인,37,3130116
고봉민김밥인,37,3120076
고봉민김밥인,37,3110640
고봉민김밥인,36,3120243
고봉민김밥인,35,3120169
고봉민김밥인,34,3120067
고봉민김밥인,33,3120079
고봉민김밥인,33,3120080
고봉민김밥인,33,3120083
고봉민김밥인,33,3120220
고봉민김밥인,32,3120241
고봉민김밥인,32,3120236
고봉민김밥인,31,3120189
고봉민김밥인,31,3120184
고봉민김밥인,31,3110149
고봉민김밥인,31,3110708
고봉민김밥인,31,3111033
고봉민김밥인,31,3120075
고봉민김밥인,31,3110687
고봉민김밥인,15,3120085
고봉민김밥인,15,3110613
고봉민김밥인,15,3120248
고봉민김밥인,15,3120244
고봉민김밥인,15,3110755
고부기 멕시칸그릴,53,3110027
고소미부엌,50,3120086
고소미부엌,32,3110653
고소미부엌,15,3110723
고소운,53,3110220
고스트요거트,38,3120173
고스트요거트,31,3130178
고시고시,51,3130192
고씨네,43,3110840
고씨네,42,3130210
고씨네,40,3120098
고씨네,39,3110300
고씨네,39,3110027
고씨네,38,3120129
고씨네,38,3110191
고씨네,37,3110758
고씨네,34,3110294
고씨네,33,3110220
고씨네,32,3130241
고씨네,32,3110418
고씨네,32,3120158
고씨네,31,3110442
고씨네,31,3120041
고씨네,31,3110069
고씨네,31,3110615
고씨네,31,3110503
고씨네,15,3130079
고씨네,15,3120101
